"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2023","Nuts, edible; coconuts, desiccated","Export","8986.653","2339.62","Weight in kilograms","2339.62"
"Albania","2023","Nuts, edible; coconuts, desiccated","Import","63917.685","30644.21","Weight in kilograms","30644.21"
"Albania","2023","Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)","Import","20612.391","20057","Weight in kilograms","20057"
"Albania","2023","Nuts, edible; brazil nuts, fresh or dried, shelled","Import","4144.973","514.5","Weight in kilograms","514.5"
"Albania","2023","Nuts, edible; cashew nuts, fresh or dried, shelled","Import","86467.357","11896.18","Weight in kilograms","11896.18"
"Albania","2023","Nuts, edible; almonds, fresh or dried, in shell","Import","124027.94","40556.44","Weight in kilograms","40556.44"
"Albania","2023","Nuts, edible; almonds, fresh or dried, shelled","Export","64405.819","10017.1","Weight in kilograms","10017.1"
"Albania","2023","Nuts, edible; almonds, fresh or dried, shelled","Import","3415262.601","604118.56","Weight in kilograms","604118.56"
"Albania","2023","Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled","Import","97845.538","11620.32","Weight in kilograms","11620.32"
"Albania","2023","Nuts, edible; walnuts, fresh or dried, in shell","Import","2960216.976","1677375","Weight in kilograms","1677375"
"Albania","2023","Nuts, edible; walnuts, fresh or dried, shelled","Import","1185775.96","322145.52","Weight in kilograms","322145.52"
"Albania","2023","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell","Export","875431.394","447270","Weight in kilograms","447270"
"Albania","2023","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell","Import","292720.766","452759","Weight in kilograms","452759"
"Albania","2023","Nuts, edible; pistachios, fresh or dried, in shell","Import","810621.677","104779.7","Weight in kilograms","104779.7"
"Albania","2023","Nuts, edible; pistachios, fresh or dried, shelled","Import","172611.723","14371.38","Weight in kilograms","14371.38"
"Albania","2023","Nuts, edible; pine nuts, fresh or dried, shelled","Import","6737.438","199.93","Weight in kilograms","199.93"
"Albania","2023","Nuts, edible; n.e.c. in heading 0801 and 0802, fresh or dried, whether or not shelled or peeled","Import","25659.398","2413.4","Weight in kilograms","2413.4"
"Albania","2023","Fruit, edible; plantains, fresh or dried","Import","190746.299","217443","Weight in kilograms","217443"
"Albania","2023","Fruit, edible; bananas, other than plantains, fresh or dried","Import","24205398.626","28830320.3","Weight in kilograms","28830320.3"
"Albania","2023","Fruit, edible; dates, fresh or dried","Import","782097.703","412973.33","Weight in kilograms","412973.33"
"Albania","2023","Fruit, edible; figs, fresh or dried","Export","521551.835","217858","Weight in kilograms","217858"
"Albania","2023","Fruit, edible; figs, fresh or dried","Import","107527.78","33691.41","Weight in kilograms","33691.41"
"Albania","2023","Fruit, edible; pineapples, fresh or dried","Import","629854.322","605628.88","Weight in kilograms","605628.88"
"Albania","2023","Fruit, edible; avocados, fresh or dried","Import","914596.979","559452","Weight in kilograms","559452"
"Albania","2023","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried","Import","361604.339","189414.5","Weight in kilograms","189414.5"
"Albania","2023","Fruit, edible; oranges, fresh or dried","Export","322704.265","648592","Weight in kilograms","648592"
"Albania","2023","Fruit, edible; oranges, fresh or dried","Import","2299684.77","4686435.92","Weight in kilograms","4686435.92"
"Albania","2023","Fruit, edible; mandarins (including tangerines and satsumas), fresh or dried","Export","1962470.002","4009276","Weight in kilograms","4009276"
"Albania","2023","Fruit, edible; mandarins (including tangerines and satsumas), fresh or dried","Import","297043.652","470636","Weight in kilograms","470636"
"Albania","2023","Fruit, edible; clementines, fresh or dried","Export","10580433.116","18014294","Weight in kilograms","18014294"
"Albania","2023","Fruit, edible; clementines, fresh or dried","Import","457085.854","917900","Weight in kilograms","917900"
"Albania","2023","Fruit, edible; tangelos, wilkings and similar citrus hybrid, fresh or dried","Import","43916.675","89546","Weight in kilograms","89546"
"Albania","2023","Fruit, edible; grapefruit and pomelos, fresh or dried","Import","91035.167","135161.2","Weight in kilograms","135161.2"
"Albania","2023","Fruit, edible; lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia, Citrus latifolia), fresh or dried","Export","27713.97","51948","Weight in kilograms","51948"
"Albania","2023","Fruit, edible; lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia, Citrus latifolia), fresh or dried","Import","3212696.37","4299342.9","Weight in kilograms","4299342.9"
"Albania","2023","Fruit, edible; citrus fruit n.e.c. in heading no. 0805, fresh or dried","Export","67146.881","89601","Weight in kilograms","89601"
"Albania","2023","Fruit, edible; grapes, fresh","Export","247581.167","221181","Weight in kilograms","221181"
"Albania","2023","Fruit, edible; grapes, fresh","Import","2777243.694","4102763","Weight in kilograms","4102763"
"Albania","2023","Fruit, edible; grapes, dried","Import","329759.575","136061.65","Weight in kilograms","136061.65"
"Albania","2023","Fruit, edible; watermelons, fresh","Export","13761663.244","37792994","Weight in kilograms","37792994"
"Albania","2023","Fruit, edible; watermelons, fresh","Import","68643.319","84228.65","Weight in kilograms","84228.65"
