Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.3
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.4730529631167
Afghanistan,AFG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..
Afghanistan,AFG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2201.72290691677
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.035
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,41454761
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.2106086137857
Albania,ALB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,16.077738075903
Albania,ALB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,11.9640780632637
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24822.3543089995
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.602
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,97.6800003051758
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.09153008460998
Albania,ALB,"Population, total",SP.POP.TOTL,2414095
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.732808364138
Algeria,DZA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..
Algeria,DZA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16824.4879034627
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.261
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.61015717726636
Algeria,DZA,"Population, total",SP.POP.TOTL,46164219
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.3721542708222
American Samoa,ASM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..
American Samoa,ASM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.852
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,47521
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.8201609217082
Andorra,AND,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,21.39859180226
Andorra,AND,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,1.0898638304214
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,71730.668682165
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.041
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.89867997169495
Andorra,AND,"Population, total",SP.POP.TOTL,80856
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.1
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.8515032220457
